                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4012,                 1.5829,                 1.5693,                 0.6668,                0.53311,                0.52924,                0.25894,                 1.7511,                 1.9854,                 2.0547,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.3642,                 1.5052,                 1.5276,                0.76564,                0.50203,                0.55105,                0.27929,                 1.7018,                 1.7982,                 1.9933,               0.000948,               0.000948,               0.000948
                     37,                 1.4029,                 1.4608,                 1.5334,                 0.6788,                0.53037,                0.53646,                0.26486,                 1.7391,                 1.8672,                 2.0014,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.2952,                 1.3679,                 1.4818,                0.83136,                0.52941,                0.60055,                0.31879,                 1.6808,                 1.7019,                 1.9475,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.3726,                 1.3987,                 1.5104,                0.75658,                0.49214,                0.57405,                0.29439,                 1.7216,                 1.8202,                 1.9857,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.3853,                 1.4068,                 1.5147,                0.75234,                0.47023,                0.57973,                0.26719,                 1.9027,                 2.1631,                 2.0853,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.3134,                 1.3641,                 1.4589,                0.78376,                 0.4766,                0.54757,                 0.2823,                 1.8421,                 2.1941,                 2.0691,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.3168,                 1.3495,                 1.4963,                0.60004,                0.57062,                0.56687,                0.29381,                 1.7918,                 1.8745,                 2.0337,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.2927,                 1.3107,                  1.447,                0.80775,                0.48619,                 0.6046,                 0.2984,                  1.743,                 1.7726,                 2.0211,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.2901,                 1.3234,                 1.4569,                0.65202,                 0.5645,                0.58685,                0.30455,                 1.7116,                 1.7434,                  1.986,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.2921,                 1.3397,                 1.4808,                 0.7659,                0.49733,                0.58788,                0.28696,                 1.8573,                 1.7229,                 2.1022,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.2876,                 1.2437,                 1.4181,                 0.7462,                0.46702,                0.57259,                0.29527,                  1.744,                 1.6526,                  1.994,             0.00080653,             0.00080653,             0.00080653
                     47,                  1.254,                 1.2531,                 1.4283,                0.79351,                0.48326,                0.55467,                0.28859,                 1.7514,                 1.7062,                 2.0129,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.2688,                 1.2207,                 1.4516,                0.81276,                0.52273,                0.58409,                0.33192,                 1.7147,                 1.7678,                 1.9625,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.2542,                 1.2347,                 1.4148,                0.86243,                0.52248,                0.62292,                0.32871,                 1.6731,                 1.5759,                 1.9813,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.2588,                 1.2005,                 1.4265,                0.78263,                0.47026,                0.57367,                0.32931,                 1.6171,                 1.7371,                 1.9231,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.2849,                 1.2168,                  1.428,                0.68664,                0.58367,                0.60983,                0.34925,                 1.5774,                 1.5285,                 1.8329,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.2202,                 1.1944,                 1.4056,                0.73747,                0.53457,                0.60522,                0.32229,                 1.7494,                 1.7382,                 2.0113,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.2293,                 1.1926,                 1.4072,                0.61744,                0.56417,                0.61152,                0.34488,                 1.5784,                  1.692,                 1.8853,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.2597,                 1.2018,                 1.4183,                0.72234,                0.53476,                0.59785,                0.36528,                 1.5867,                 1.6307,                 1.9071,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.1987,                 1.1601,                 1.4118,                0.73886,                0.55585,                 0.5937,                0.32822,                 1.6486,                 1.7277,                 1.9871,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.2175,                 1.1885,                 1.4091,                0.66111,                0.62182,                0.64294,                0.35953,                 1.6144,                 1.5378,                 1.8928,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.1982,                 1.1209,                 1.4028,                 0.8799,                 0.5254,                0.62693,                0.33799,                 1.6039,                 1.6355,                 1.9163,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.1687,                 1.1453,                 1.3761,                0.79364,                0.55749,                0.61594,                0.33198,                 1.6641,                 1.5768,                  1.936,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.1549,                 1.0734,                 1.3385,                0.74981,                0.55744,                0.61001,                0.31749,                 1.6611,                 1.5727,                  1.949,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.1809,                 1.0769,                 1.3887,                0.83652,                0.55036,                0.60377,                0.32108,                 1.7495,                 1.7108,                  1.961,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.1256,                 1.0965,                 1.3167,                0.87142,                0.53075,                0.63369,                 0.3501,                 1.6201,                 1.4869,                 1.8583,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.1439,                 1.0849,                 1.3794,                0.80102,                0.62389,                0.68134,                 0.3694,                 1.6369,                  1.417,                 1.8934,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.1614,                 1.0927,                 1.3817,                0.67956,                0.60468,                0.64535,                0.36068,                 1.6309,                 1.5205,                 1.8928,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.0946,                 1.0192,                 1.3087,                0.79797,                 0.5486,                0.65338,                0.35496,                 1.5804,                 1.5186,                 1.8662,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.1222,                 1.0109,                 1.3268,                0.63932,                0.64921,                0.64979,                0.36034,                 1.6077,                 1.4317,                 1.8714,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.1416,                 1.0165,                 1.3568,                 0.6972,                0.56602,                  0.628,                0.35482,                 1.6273,                 1.4423,                 1.8897,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.1253,                0.98652,                 1.3165,                0.68241,                  0.639,                0.65349,                0.36972,                  1.585,                 1.4345,                 1.8296,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.0591,                0.94888,                  1.276,                0.69325,                0.62333,                0.65836,                0.35862,                 1.5901,                  1.436,                 1.8663,             0.00049529,             0.00049529,             0.00049529
                     69,                  1.062,                0.97837,                 1.3082,                0.69408,                 0.6016,                0.65485,                0.36661,                 1.5699,                 1.4539,                 1.8594,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.0567,                0.96172,                 1.2885,                0.90246,                0.55039,                0.68244,                0.36636,                 1.6363,                 1.4972,                 1.9376,               0.000467,               0.000467,               0.000467
                     71,                  1.118,                 1.0053,                 1.3406,                0.86237,                0.53434,                0.65357,                0.37366,                 1.5893,                 1.4047,                 1.9082,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.0501,                0.95319,                 1.2739,                0.87445,                0.63004,                0.67245,                0.37141,                 1.5807,                 1.3435,                 1.8421,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.0459,                0.93958,                  1.276,                0.83102,                0.56239,                0.66321,                0.36321,                 1.6227,                  1.462,                  1.844,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.0396,                0.92309,                  1.281,                0.77164,                0.60428,                0.67772,                0.36292,                 1.6698,                 1.4512,                 1.8868,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.0598,                0.94132,                  1.277,                0.75652,                0.62977,                0.69359,                0.37368,                 1.6354,                 1.4547,                 1.8977,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.0324,                0.88684,                 1.2615,                 0.7882,                 0.5967,                 0.6714,                0.35663,                 1.6476,                 1.5219,                 1.9223,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.0303,                 0.8842,                 1.2652,                0.71946,                 0.6118,                0.65643,                 0.3346,                 1.7132,                 1.5021,                 1.9818,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.0315,                0.87454,                  1.254,                0.69259,                0.62251,                0.68541,                0.36166,                 1.6287,                 1.4713,                 1.9194,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.0305,                0.87413,                 1.2401,                0.74647,                0.60918,                0.66443,                 0.3531,                 1.6428,                 1.5336,                 1.9273,             0.00033967,             0.00033967,             0.00033967
