                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5272,                  1.547,                 1.1968,                0.75435,                0.32413,                0.48361,                0.21143,                 1.6587,                 2.1798,                 1.2598,              0.0012026,              0.0012026,              0.0012026
                     35,                  1.518,                 1.4486,                 1.1337,                0.90091,                 0.3722,                0.51993,                 0.2534,                 1.5694,                 1.9308,                 1.2302,              0.0011956,              0.0011956,              0.0011956
                     36,                 1.4094,                 1.4629,                 1.1566,                0.71487,                0.39436,                0.47141,                0.25339,                 1.5324,                 1.9979,                 1.2009,              0.0011885,              0.0011885,              0.0011885
                     37,                 1.5732,                 1.5445,                 1.1801,                0.63574,                0.31277,                0.42055,                0.22575,                 1.5657,                 2.1649,                 1.2055,              0.0011814,              0.0011814,              0.0011814
                     38,                 1.4012,                 1.3888,                 1.1516,                 0.8576,                0.31818,                0.53492,                0.26184,                 1.7153,                 1.9311,                 1.2782,              0.0011744,              0.0011744,              0.0011744
                     39,                 1.4414,                 1.3799,                 1.1091,                0.66209,                0.41963,                0.49884,                0.24295,                 1.6516,                 1.8222,                 1.2231,              0.0011673,              0.0011673,              0.0011673
                     40,                 1.4915,                 1.4533,                 1.1442,                0.56312,                0.44036,                0.52155,                0.26277,                 1.5273,                 1.9197,                 1.1761,              0.0011602,              0.0011602,              0.0011602
                     41,                 1.3995,                 1.3479,                 1.1246,                0.63836,                0.45885,                0.55219,                0.26322,                 1.5386,                 1.8769,                  1.176,              0.0011531,              0.0011531,              0.0011531
                     42,                 1.4002,                 1.2409,                 1.0983,                0.75886,                0.46808,                0.54692,                0.29376,                 1.5571,                 1.6033,                 1.1861,              0.0011461,              0.0011461,              0.0011461
                     43,                 1.3735,                 1.3095,                 1.0958,                0.80793,                0.45218,                 0.5161,                0.27496,                 1.6371,                 1.6707,                 1.2285,               0.001139,               0.001139,               0.001139
                     44,                 1.2861,                 1.3016,                 1.1116,                0.66049,                0.45755,                0.47524,                0.26768,                  1.567,                  1.519,                 1.2157,              0.0011319,              0.0011319,              0.0011319
                     45,                 1.3657,                 1.3575,                 1.1138,                0.64403,                0.47781,                0.52388,                0.28483,                 1.5215,                  1.319,                 1.1946,              0.0011248,              0.0011248,              0.0011248
                     46,                 1.3776,                 1.2823,                 1.1129,                0.47824,                 0.4967,                0.47027,                0.24906,                 1.5749,                 1.3407,                 1.2098,              0.0011178,              0.0011178,              0.0011178
                     47,                 1.4267,                 1.3068,                 1.0703,                0.90656,                 0.3648,                0.54792,                0.23447,                 1.6066,                 1.4425,                 1.2132,              0.0011107,              0.0011107,              0.0011107
                     48,                 1.3461,                 1.2854,                  1.104,                0.59581,                0.49513,                0.53984,                 0.2283,                 1.6468,                 1.5379,                 1.2693,              0.0011036,              0.0011036,              0.0011036
                     49,                 1.3529,                 1.1833,                 1.0835,                0.77639,                 0.5081,                0.57591,                0.23274,                 1.6054,                 1.5065,                  1.256,              0.0010965,              0.0010965,              0.0010965
                     50,                 1.3472,                  1.202,                  1.046,                0.64163,                0.56066,                0.53163,                0.25686,                 1.5735,                 1.5921,                 1.2408,              0.0010895,              0.0010895,              0.0010895
                     51,                 1.3614,                 1.2006,                 1.0806,                0.61689,                0.54437,                0.50626,                0.24579,                 1.5817,                 1.5942,                 1.2436,              0.0010824,              0.0010824,              0.0010824
                     52,                 1.4364,                 1.4272,                 1.1619,                0.73297,                0.60353,                0.57817,                0.23072,                 1.5835,                 1.5862,                 1.2144,              0.0010753,              0.0010753,              0.0010753
                     53,                 1.3672,                 1.2113,                  1.084,                0.60196,                0.50717,                0.46355,                0.23061,                  1.544,                  1.502,                  1.194,              0.0010682,              0.0010682,              0.0010682
