                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5041,                 1.1359,                 1.1366,                0.59965,                0.72483,                0.66102,                0.38837,                 1.6488,                 1.3073,                 1.0913,              0.0012026,              0.0012026,              0.0012026
                     35,                 1.3886,                 1.0144,                 1.0502,                0.78167,                0.60468,                0.66085,                0.41246,                 1.5353,                 1.2014,                 1.0541,              0.0011956,              0.0011956,              0.0011956
                     36,                 1.3526,                 1.0315,                 1.0482,                 0.6942,                 0.6146,                0.67413,                0.40278,                 1.6227,                 1.2762,                 1.0813,              0.0011885,              0.0011885,              0.0011885
                     37,                 1.4899,                 1.0906,                 1.0389,                  0.777,                0.58693,                0.63953,                0.39609,                 1.5832,                 1.2002,                 1.0729,              0.0011814,              0.0011814,              0.0011814
                     38,                 1.3425,                0.98697,                 1.0398,                0.77688,                0.58818,                 0.6616,                0.40673,                 1.5012,                 1.1782,                 1.0739,              0.0011744,              0.0011744,              0.0011744
                     39,                 1.4609,                 1.1305,                 1.0759,                0.60508,                0.68719,                0.63178,                0.38915,                 1.6362,                 1.2742,                 1.0867,              0.0011673,              0.0011673,              0.0011673
                     40,                 1.3432,                 1.0161,                 1.0238,                0.76795,                0.58451,                 0.6235,                0.39023,                 1.5813,                 1.4607,                 1.0575,              0.0011602,              0.0011602,              0.0011602
                     41,                 1.3584,                 1.0343,                 1.0289,                0.56011,                0.51907,                0.53738,                0.34237,                 1.6913,                 1.5932,                 1.1006,              0.0011531,              0.0011531,              0.0011531
                     42,                 1.3923,                  1.001,                 1.0753,                0.81977,                0.61362,                0.65863,                0.42066,                 1.5838,                 1.4751,                 1.0699,              0.0011461,              0.0011461,              0.0011461
                     43,                 1.2322,                 0.8824,                0.99997,                 0.8186,                0.64954,                 0.6972,                0.43125,                  1.565,                 1.0802,                 1.0541,               0.001139,               0.001139,               0.001139
                     44,                 1.3482,                 0.9238,                 1.0508,                0.82432,                0.63895,                0.67394,                0.41221,                  1.536,                 1.1278,                 1.0889,              0.0011319,              0.0011319,              0.0011319
                     45,                 1.3734,                0.98434,                 1.0254,                0.81451,                0.69553,                0.73469,                0.40342,                 1.5945,                 1.1227,                 1.0859,              0.0011248,              0.0011248,              0.0011248
                     46,                 1.2637,                0.84948,                0.99112,                0.70465,                 0.6213,                0.64738,                0.38801,                 1.6557,                 1.0846,                 1.0729,              0.0011178,              0.0011178,              0.0011178
                     47,                   1.29,                0.87806,                 1.0244,                0.68765,                0.62095,                0.62167,                0.39464,                 1.5522,                 1.1419,                 1.0528,              0.0011107,              0.0011107,              0.0011107
                     48,                 1.3045,                0.92782,                  1.014,                0.75635,                0.63788,                0.66973,                0.43077,                  1.521,                 1.1727,                 1.0453,              0.0011036,              0.0011036,              0.0011036
                     49,                 1.3436,                0.92517,                 1.0223,                0.77516,                0.64173,                0.67468,                0.42508,                 1.4913,                 0.9993,                 1.0204,              0.0010965,              0.0010965,              0.0010965
                     50,                 1.3361,                0.88175,                 1.0214,                0.60427,                0.71844,                  0.652,                0.40473,                 1.5705,                 1.0793,                 1.0489,              0.0010895,              0.0010895,              0.0010895
                     51,                  1.345,                0.95698,                 1.0484,                0.71993,                0.68829,                0.67303,                0.40795,                 1.5667,                 1.0374,                 1.0592,              0.0010824,              0.0010824,              0.0010824
                     52,                 1.2752,                0.86057,                0.97654,                0.79334,                0.61045,                0.66889,                0.41856,                 1.5808,                 1.1628,                 1.0617,              0.0010753,              0.0010753,              0.0010753
                     53,                 1.2145,                0.81017,                0.97114,                0.83268,                0.68386,                0.69985,                0.41399,                 1.5527,                 1.0247,                 1.0538,              0.0010682,              0.0010682,              0.0010682
                     54,                 1.2874,                0.82626,                 1.0263,                0.82758,                0.65023,                0.69779,                0.41883,                  1.592,                0.97735,                 1.0669,              0.0010612,              0.0010612,              0.0010612
                     55,                   1.35,                0.88078,                 1.0314,                0.62828,                 0.6171,                 0.6111,                0.38921,                 1.5869,                  1.118,                 1.0744,              0.0010541,              0.0010541,              0.0010541
                     56,                 1.2407,                0.82541,                 1.0014,                0.86706,                0.61761,                0.66854,                0.41062,                 1.6298,                 1.1668,                 1.0972,               0.001047,               0.001047,               0.001047
                     57,                 1.3207,                0.86878,                  1.016,                0.89435,                0.60345,                0.67302,                0.41713,                 1.6022,                 1.1172,                 1.0839,                0.00104,                0.00104,                0.00104
                     58,                  1.324,                0.83467,                 1.0061,                0.73762,                0.64405,                0.68135,                0.40807,                 1.6192,                 1.0558,                 1.0801,              0.0010329,              0.0010329,              0.0010329
                     59,                 1.3514,                0.84026,                 1.0126,                0.70584,                0.68907,                0.65291,                0.39805,                 1.6364,                  1.079,                 1.0815,              0.0010258,              0.0010258,              0.0010258
                     60,                 1.3242,                0.87206,                 1.0088,                0.75081,                0.68386,                0.66848,                0.39307,                 1.6467,                  1.071,                 1.1023,              0.0010187,              0.0010187,              0.0010187
                     61,                 1.2686,                0.80791,                 1.0007,                0.80188,                0.63957,                0.67421,                0.41432,                 1.5439,                   1.03,                 1.0644,              0.0010117,              0.0010117,              0.0010117
                     62,                 1.3119,                0.81947,                 1.0177,                0.69149,                0.63902,                0.63253,                0.38076,                 1.5434,                 1.2124,                 1.0629,              0.0010046,              0.0010046,              0.0010046
                     63,                 1.2458,                0.81501,                0.98027,                0.61198,                0.67152,                0.57956,                 0.3591,                  1.554,                 1.3577,                  1.053,             0.00099751,             0.00099751,             0.00099751
                     64,                  1.316,                0.83594,                 1.0401,                0.77067,                0.64802,                0.65256,                0.41484,                 1.5687,                 1.1687,                 1.0613,             0.00099044,             0.00099044,             0.00099044
                     65,                 1.1778,                0.78264,                0.99363,                0.70133,                0.60652,                 0.6166,                0.39446,                 1.5651,                 1.2293,                  1.064,             0.00098337,             0.00098337,             0.00098337
                     66,                 1.1555,                0.73839,                 0.9613,                0.82154,                0.68605,                0.68699,                0.42792,                 1.5172,                 1.1007,                 1.0421,             0.00097629,             0.00097629,             0.00097629
                     67,                   1.23,                0.75765,                0.98028,                0.80669,                0.68888,                0.71446,                0.42016,                 1.5716,                 1.0146,                 1.0553,             0.00096922,             0.00096922,             0.00096922
                     68,                 1.2711,                0.76956,                0.97995,                0.76154,                0.64328,                0.66163,                0.40218,                 1.5419,                 1.0102,                 1.0473,             0.00096215,             0.00096215,             0.00096215
                     69,                 1.2174,                0.78805,                0.98755,                0.69367,                0.60926,                0.64553,                0.40294,                 1.5096,                 1.1236,                 1.0241,             0.00095507,             0.00095507,             0.00095507
                     70,                 1.2231,                0.78981,                0.98506,                0.74134,                  0.718,                0.67478,                0.41939,                 1.5663,                 1.1065,                 1.0612,               0.000948,               0.000948,               0.000948
                     71,                 1.1941,                0.77236,                0.96989,                0.77791,                0.67878,                0.69182,                0.42099,                 1.5378,                 1.0061,                 1.0445,             0.00094093,             0.00094093,             0.00094093
                     72,                  1.272,                 0.8209,                0.97536,                0.77113,                 0.6383,                0.65778,                 0.3971,                 1.5792,                 1.1295,                 1.0554,             0.00093385,             0.00093385,             0.00093385
                     73,                 1.2281,                0.79471,                 0.9645,                0.76212,                0.66393,                0.67191,                0.42518,                  1.528,                 1.0772,                 1.0417,             0.00092678,             0.00092678,             0.00092678
                     74,                 1.1963,                0.79567,                0.97501,                0.76747,                0.72838,                0.71931,                0.42922,                 1.5801,                0.96016,                 1.0692,              0.0009197,              0.0009197,              0.0009197
                     75,                 1.2806,                0.74975,                0.97132,                0.78275,                0.71779,                0.72776,                0.44106,                 1.6281,                0.96866,                 1.0762,             0.00091263,             0.00091263,             0.00091263
                     76,                 1.1871,                0.71747,                0.97411,                0.78184,                0.67897,                0.70833,                0.42314,                 1.5849,                 1.0279,                 1.0737,             0.00090556,             0.00090556,             0.00090556
                     77,                 1.1438,                0.73148,                0.95517,                0.77784,                0.60625,                0.66174,                0.40109,                 1.6097,                 1.1152,                 1.0686,             0.00089848,             0.00089848,             0.00089848
                     78,                 1.0688,                0.70269,                0.94486,                0.84463,                0.63115,                 0.7025,                0.43913,                 1.5721,                 1.0181,                 1.0642,             0.00089141,             0.00089141,             0.00089141
                     79,                 1.1114,                0.69377,                0.94964,                0.86368,                0.62593,                0.69798,                  0.432,                 1.5453,                  1.042,                 1.0526,             0.00088434,             0.00088434,             0.00088434
                     80,                 1.1842,                0.71247,                0.94995,                0.83995,                0.60998,                0.68582,                0.42558,                  1.568,                 1.1503,                 1.0624,             0.00087726,             0.00087726,             0.00087726
                     81,                 1.2008,                0.72346,                0.97885,                0.76073,                  0.653,                0.69176,                0.42672,                  1.534,                 1.0224,                 1.0672,             0.00087019,             0.00087019,             0.00087019
                     82,                 1.1751,                0.69154,                0.97162,                0.87831,                0.67596,                 0.7211,                0.44156,                 1.5655,                0.95434,                 1.0705,             0.00086312,             0.00086312,             0.00086312
                     83,                 1.1199,                0.68436,                0.97077,                0.79386,                0.64967,                0.70093,                0.42731,                 1.6269,                0.99828,                 1.0897,             0.00085604,             0.00085604,             0.00085604
                     84,                 1.2274,                0.73398,                0.97085,                0.82297,                0.65756,                 0.6973,                0.44187,                  1.576,                 1.0127,                 1.0756,             0.00084897,             0.00084897,             0.00084897
                     85,                  1.134,                 0.6785,                 0.9379,                0.72685,                0.73985,                0.71401,                 0.4569,                 1.5329,                 1.0053,                 1.0851,              0.0008419,              0.0008419,              0.0008419
                     86,                 1.2374,                0.72522,                 1.0126,                0.81219,                 0.6035,                0.67951,                0.42667,                 1.5686,                 1.0583,                 1.0764,             0.00083482,             0.00083482,             0.00083482
                     87,                 1.1869,                0.71731,                0.97342,                0.77674,                0.70631,                0.70694,                0.43442,                 1.6303,                0.94657,                 1.0958,             0.00082775,             0.00082775,             0.00082775
                     88,                 1.1485,                0.67133,                0.95914,                0.78424,                0.72981,                0.70671,                0.44013,                 1.6222,                0.97286,                 1.0823,             0.00082067,             0.00082067,             0.00082067
                     89,                 1.1532,                0.67766,                0.97251,                0.85501,                0.62829,                0.67315,                0.41545,                 1.5765,                0.98058,                  1.068,              0.0008136,              0.0008136,              0.0008136
                     90,                 1.0546,                0.65784,                0.94584,                0.84395,                0.64798,                0.72321,                0.44953,                 1.5478,                0.91982,                 1.0572,             0.00080653,             0.00080653,             0.00080653
                     91,                 1.1486,                0.71159,                0.94584,                0.69864,                0.76798,                0.76104,                0.45968,                 1.5255,                0.90507,                 1.0549,             0.00079945,             0.00079945,             0.00079945
                     92,                 1.0827,                0.66898,                0.91546,                0.77088,                0.71407,                0.73501,                0.43675,                 1.5867,                 1.0066,                 1.0706,             0.00079238,             0.00079238,             0.00079238
                     93,                 1.1597,                0.67738,                  0.967,                0.80859,                0.68138,                0.72066,                0.43509,                 1.5254,                 1.0393,                 1.0653,             0.00078531,             0.00078531,             0.00078531
                     94,                 1.1339,                 0.6976,                0.95461,                0.78325,                0.66759,                0.70416,                0.41713,                 1.6226,                 1.0401,                 1.1087,             0.00077823,             0.00077823,             0.00077823
                     95,                 1.1301,                0.67491,                0.97882,                0.80134,                 0.7114,                0.74134,                0.45392,                 1.6107,                0.90257,                   1.09,             0.00077116,             0.00077116,             0.00077116
                     96,                  1.211,                 0.7071,                 0.9769,                0.75209,                0.73318,                0.72578,                0.45255,                 1.5725,                0.92626,                 1.0671,             0.00076409,             0.00076409,             0.00076409
                     97,                 1.2121,                 0.7132,                 0.9676,                0.83511,                0.62654,                0.69887,                0.43803,                 1.5276,                0.87916,                  1.055,             0.00075701,             0.00075701,             0.00075701
                     98,                 1.1402,                 0.6848,                0.93183,                 0.7961,                0.62236,                0.68466,                0.43446,                 1.5032,                0.93679,                 1.0564,             0.00074994,             0.00074994,             0.00074994
                     99,                 1.0503,                0.64203,                  0.921,                0.80286,                0.68221,                0.69221,                0.43714,                 1.4517,                0.99938,                 1.0416,             0.00074287,             0.00074287,             0.00074287
                    100,                 1.1392,                0.63909,                0.93698,                0.86888,                0.69113,                0.73347,                0.45779,                 1.5015,                0.82291,                  1.054,             0.00073579,             0.00073579,             0.00073579
                    101,                 1.1201,                0.65098,                0.93614,                0.85212,                0.71521,                0.74347,                0.46249,                 1.4727,                0.86482,                 1.0548,             0.00072872,             0.00072872,             0.00072872
                    102,                 1.0865,                0.64646,                0.93712,                 0.8276,                0.71073,                  0.741,                0.45606,                 1.5301,                0.88973,                 1.0586,             0.00072164,             0.00072164,             0.00072164
                    103,                 1.1422,                0.66787,                0.95629,                0.85757,                0.71592,                0.74669,                0.45227,                 1.5881,                0.87526,                 1.0847,             0.00071457,             0.00071457,             0.00071457
